"threat","sentiment_score"
"Stand down B**ch! Yo F**kin days are over NOW ... Fake to me And DED.'",-0.75
"you guys better hide. Im gonna shoot it up",0.3
"2:00 November 1st colleton county middle school will be shoot up make sure yall hide yall little kids before we cap em.",-0.5
"2:30 tmo Essex Tech ",0
"3/1/19 yall gonna find out whats hiding under these trench coats!"", ""'I got murder on my mind.' - melly"", Make sure everyone comes to school on friday. Itll be an exciting day.",0
"All yall are going to feel bullets. ""Im going to give you time to get out, then started to count down from ten, the court documents said."" ""Ill wait till the class fills up, the affidavit said. At this time, one student sent a message to administration because they were afraid and hoped they would come and intervene.""",-1.5
"Any kids we see theyre [sic] getting shot,",-0.4
"Apperantly [sic] there are threats of an 11th and 12th grader having a gun on [sic] fondy just didnt do anything with it so pretty much the school might get shot up tomorrow. So if you, Guys have a choice to not go then dont.",-0.5
"At 10:00 Am Im Going To Shoot The School and Im bringing my dad gun to the school. and ""Just watch""",-1
"At 10:30 am a car will drive into as many students as possible as they try to leave. If you try and evacuate them the driver will get out and shoot any student leaving. You have a choice here, you can ignore this email and risk the lives of the students you say you care for, or you can listen to what we are telling you. The only way out is to go out with a BANG.",-1.1
"Aye, Im finna shoot up Logan High after Thanksgiving break. I will only kill 8 students and 2 teachers. Ive been getting bullied ever since school started and Im tired of it, either join me or die too. The Snapchat message written below indicated, Repost this!!!!",-2.45
"Ayyy everyone that has my TikTok and goes to (sic) rigby middle school Im letting you know dont go to school Monday there is gonna be another shooting I just letting you all know but do anything to not go to school Monday,",-0.6
"Because (Im) going (to) shoot up the whole school on Monday",-0.5
"Because it could save lives., Dont go to Parma High School tomorrow friend, we are about to shoot that s--t up alright man?"", Dont tell the cops and you will be fine,",1.05
"Cant wait for tomorrow shooting. Bay Academy kids watch out.",-0.45
"CHS be ready!!!!!! This s--- real!!!!!!! guys.",1.05
"Coming for Lamesa Middle School",0
"Do you want me to shoot up the school on Monday? Im leaving rn [right now] before the cops search my bag.",0.3
"Dont come to school tomorrow I will kill the people.",-0.75
"Dont go to school on Monday,",0
"Everybody is going to die,  Im going to shoot Nogo high school up February 20, 2020. This is because of the constant bullying from the freshman class. Dont expect to live. Dont come if you want to live. Everybody is going to die. Thursday I am shooting up the school. Sorry, I dont want the people I am friends with to come to school. Dont post it, some people deserve to die. I am going to kill at 3rd period. I am sorry. I cant take it anymore. I must get revenge,",-4.2
"F- everyone that call me ugly Ill shoot up the school, 12/17/18, 4 period",-1.75
"going to shoot up cheney middle school tomorrow at 12:08 (8th grade lunch.) I will have four people helping.",0
"grab your AR and we can go down to the school and shoot it up.,  grab your gun and lets go shoot up the elementary school,",-1
"hey (racial expletive) on January 2 Im gonna shoot up Shakopee High School Not catching me lacking.  """,-1.65
"HHS school shooting tomorrow,",-0.6
"Hi Im Ashton Smith Im going to shoot the school on Friday.",-0.5
"I am going to come to school with a gun and make sure I get you first and then everyone else.",-0.5
"I can have the gang, a whole bunch of just people in cars and (expletive), just pull up and then just shoot, just shoot up,",-1.7
"I f****** hate [victims name], shes full of so much bull**** that its not even funny, I hope she gets dragged to hell, gets her eye plucked out of her skull and her skull comes back to me so I can put it on my wall as a trophy! I hate her so much I want to do a school shooting and only kill her, itll be worth life in prison to even death, ",-3.35
"I feel like school shooting tmrw. Also saying, when I sneeze, its a signal, go to the bathroom ok, and continued with I hope yall arent snitches.",0.4
"I feel like shooting up the school and then living in solitary confinement for the rest of my days, Im gonna murder someone, Im straight up gonna be a serial killer, and Ive come to the conclusion that Im a sociopath that doesnt feel (expletive) and would be happy to kill people,",-3.15
"I hate everything and Im gonna shoot up our school. Everything is wrong and I wanna hurt someone for it. So Im finna shoot up the school. Nothing I just hate everything and want everyone to know it. The text on the 19 was a threat to ""shoot up the school"" ",-3.5
"i hate n------ i would kill them if [I] hade to and i shoot up sms and mgm tomorrow. (bio of account)",-2
"I need to make this shooting/bombing ... infamous,"" ""I need to get the biggest fatality number I possibly can. I need to make this count. ... I'm learning from past shooters/bombers mistakes, so I don't make the same ones.""",-3.15
"I want to shoot up a school for real.",-0.25
"I will shoot up the school at 12:00 be ready, and, Everybody will be shoot (sic).",0.3
"Im coming to Ithaca High School, Im shooting the school up... Im coming for [students name] and you, you last. Im gonna shoot both of yall. [] 10 oclock, Ithaca High School.",-1.1
"Im done talkin to you  followed by a racial slur.  ",-0.5
"Im going to shoot up the school tomorrow at west creek middle I have been wanting to do this and since it is the end of the year Im going to do it now. So be ready tomorrow now f***ing joke. Im anonymous, but I work there just letting you know.",1.15
"Im going to shoot up the teacher and the school ",-0.25
"Im gonna leave and go home, get a gun and come back and shoot everybody.",-1.25
"Im gonna shoot up the school tomorrow at 0900 hours. Be ready.",0.3
"Im gonna shot this school on Friday 11/5/21",-0.4
"Im in a car parked on Genesee Street with a bomb. Theres going to be a lot of people dead. There is a bomb at your school and we will shoot the kids when they get out of the school. That is what you get for not accepting me in 86. school employee asked who was calling, and Buchanan said, If you try to find out I will shoot you. a bomb on campus similar to the one Congress is going to get, ""Stop playing games, you know who this is. I am going to shoot the school. I know the kids are there.""",-1.8
"Im leaving krop cya. Dont come to school today.",0
"Im ready to shoot up the school, with four laughing emojis",0.9
"If school isnt evacuated tomorrow I will bring a gun and kill as many people as possible 2/4/18",-1.25
"If you go to Northwest School be safe tomorrow someone is bringing an AR to school.",0.75
"If you live in Clay County or Duval County be safe. Its an active shooter coming to all yall schools,",1
"IMMA Send SHOtsflying at the school for XXXX and  I HOPE I GET LOCKED UP SO I CAN SEE XXXX AND WE CAN BOTH BEAT THE CASE SO THEN BOTH OF US CAN BOOM THE SCHOOL.",0.1
"infiltrate the school from all entrances and start little by little killing people.
",-0.75
"Is dying good? When we first listen the word die, we get scared. However, with all the suffering in this world, I have concluded that dying is something good... I will begin my dream with a mass shooting at the University of Miami."" I am also planning a mass shooting at the Shenandoah Middle School. I will shoot the kids to the head. I will kill everybody to the head.. ",-2.75
"is gonna shoot up the school, If yall report this you could legit get a day off, ",-0.5
"Its [sic] going to be a school shooting at the school Monday and Im tired of u [sic] guys bullying me. Im going to shoot every one [sic] in my way.",-2.6
"Knock on my door one more time with the police and see what happens to you all. I will shoot up the schools, facts... I will go to Spruce Creek myself, and shoot up that whole school myself, facts.",-0.35
"mass shooting,"" several military style firearms and explosives.",-1.2
"My children will not come to school on Monday with a mask on, thats not happening and I will bring every single gun loaded and ready, ""Ill see yall on Monday.",-0.2
"National Shoot Up Your School Day",-0.5
"National Shoot Up Your School Day",-0.5
"National Shoot Up Your School Day",-0.5
"National Shoot Up Your School Day",-0.5
"On my way! School shooter,",0
"revealing new school shooter gun.",0.3
"school shooter., I hate WJ(referencing Walter Johnson HS), Ha, ha, Im going to shoot up the school",-1.25
"school shooting at 12 p.m.",-0.6
"school shooting Feb. 14 and March 1",-0.6
"school tomorrow",0
"shoot everyone in the school.",-0.5
"shoot that [expletive] up.",-0.9
"shoot the school or stab some people.",-1.5
"shoot up Cross,",-0.5
"Shoot Up Feb 14.",-0.5
"shoot up the bus",-0.5
"shoot up the school on Wednesday,",-0.5
"shoot up the school then shoot himself,",-0.5
"shoot up the school, telling the girl to hide in the closet because he liked her and she had always been a good friend to him.",1.55
"shoot up the school and said he had a gun",-1
"shoot up",-0.5
"shooting up the school",-0.6
"shooting up",-0.6
"Shooting up a school, using explosives and referring to other school shootings as amateurs.",-0.6
"The last red pill 5-17-19 just for me. written on the single bullet",-0.25
"The only question is how many kids are going to die, and Suicide by cop is the best way to go.",-1
"There is a bomb on Lauderdale Lakes Middle Schools campus and Boyd Andersons campus, the tip read. There are students lives at stake. Imma shoot up Lauderdale Lakes Middle School and Boyd Andersons school. This is not a joke.",-0.4
"there would be a shooting today at a school district in Oakland County when school lets out.",-0.6
"This goes to all the girls out there  if you dont date me, then youre dead,"" Get back together with me, or youre dead,"" Mess with my a** then youre dead. Everything, youre dead.",-1.75
"This is no one of those hoaxes. This is not a joke. I have not been bullied. I have not been misunderstood, the post stated. I am actually quite popular, and I have not told anybody I am going to do this.  I know the lockdown protocols, dont even bother hiding, it read. At the beginning of 6th period, at 12:10, I will pull a Glock 17 out of my backpack and unleash hellfire on the lunchroom. I have plenty of ammo too. ",-2.15
"tired of issues to shoot up the school.",-1.25
"to cause harm",-0.75
"to shoot up Paragould High School.",-0.5
"waiting to blow up a special house, and going on a killing spree.",-0.1
"Warning: Im coming to shoot up West Bloomfield tomorrow, Im coming for Oakside and some more schools,",-1
"Watch out if you go to EV. Some of you are going to die tomorrow,",-0.75
"Watch out, Class of 2023""",0
"Were on our way.",0
"What if all the people that annoyed u / Were dead in front of [u], the teen wrote. Wouldnt that feel amazing / To see them beg as i bring my gun closer and closer to them. Yall do good to find a good hiding spot on monday.",-1.5
"You go to Winter Springs high school I will come pull you out of school tomorrow, said one of the texts, followed with, Ill shoot anybody who gets in my mother [expletive] way.",-1.4
"You go to Winter Springs high school I will come pull you out of school tomorrow... Im going with a gun...Ill shoot anybody who gets in my m***erfu****g way.",-1.5
"You Turner Tech jits bout to be in caskets. Naw bra we not doin nun on tt grounds, we catching em went they get out.",-0.6
"to shoot up the school.",-0.5
"1. ""I will become a God"" 2.  ""shooting up"" 3. ""I [expletive] hate this [expletive] school. It's pure existence pisses me off. Everybody here needs to die. [Expletive] humanity, [expletive] society, [expletive] life. Soon, I will become a god, and I will release my wrath on this [expletive] school soon."" ",-2.55
"2nd student's threat: Everyone going to Reading school tomorrow, please I beg you dont go to school tomorrow, there is a risk that one of the students will shoot up the school tomorrow just take precaution and DO NOT GO this is important.",-1.3
"a document he wrote with a list that read: 1. Pipe bomb, 2. Gun (I have a rifle but its a bolt action so it would reload slowly), 3. Ammo, 4. Time and place ... will add more later.",-1.65
"A shooting that would take place Wednesday at phhs.",-0.6
"Account Name: ShootingRHSnext",0
"Account username: shooting_up_heritage_middle Account bio:  IM COMING i am shooting up heritage middle school Thursday, January 23 yourdoneheritage.com.""",-0.6
"bathroom wall threat: South Dade shooting 12/6,"" social media message:  Im going to kill everyone at Miami Senior High School. Dont come to school on Monday, Dec. 6, if you dont want to die. Everybody will see the anger that I have inside me. Miami Northwestern HS threat: Dont go to school tomorrow I will blow up Miami Northwestern Senior High School and you will be the first to die.",-4
"caption with words that told students to stay at home on Monday if they wanted to be safe.",0.75
"claimed to have a hostage at gunpoint inside of Elementary School. He allegedly said he would hurt anyone who tried to enter the school.",-2.25
"Doesn't specify",0.25
"Facebook: a screenshot of a gun with the caption ""don't go to school tmr."" and  imagine thinking sending someone this is fucking funny. legit school shootings are not a fucjing joke and youre sick if you joke about them. fuck allegany fr. Discord: Im sure youve all heard about the school shooting threat. Good news, the kid got arrested. Bad news, his friends are threatening to shoot up the school tomorrow. I dont know if its a group of kids or if its just one, but if its a group its obviously gonna be more dangerous to go to school tomorrow. I advise you to stay home. Then again, these are just rumors going around. But still, better safe than sorry. ",-5.2
"Fourth threat: The dance tonight will be fun.",0.6
"Going to ""shoot someone""",-0.5
"going to ""shoot up"" Trion School",-0.5
"I hate Black people, ""he called us like cotton pickers and then he called all of us the n-word.""",-0.5
"I'm shooting up the school don't come""",-0.6
"included words ""start a school shooting""",0
"It indicated there was going to be a school shooting between 11 a.m. and 11:35 a.m. at Badger High School. ",-1.1
"It said, ""I am tired of getting bullied. At 10:30 tomorrow I am going to shoot 20 kids and 4 admin - see you heaven.""",-0.95
"man called police claiming to have shot his wife then threatened that the high school was next",-1.15
"N/A",0
"One the phone with Missouri Department of unemployment he said he was armed and was going to ""shoot the school""",-1.1
"Part of the threat read: ""going to shoot it up at 11:05 at lunch when I can find everyone lacking.""",-2
"Photo of threat within source: ""Shoot Ed White up""",-0.85
"Planned to shoot ""up a school"" and ""kids,""",-0.5
"Post #1: If you want to live tomorrow I recommend not coming to school. We tired of being bullied and bothered for no reason Me and 2 of my friends are coming to kill anyone we see so be ready We are going to start at 10:00 Am tomorrow morning (this post had a handgun in the background of the texts)                            Post #2: Some more of what we gonna bring. (this picture had 6 different firearms)",-1.2
"post: ""Are ya ready [sic] for some Rocori action"" in person: ""I can do whatever I want on social media""",1.05
"posted a threat to ""shoot up"" the school on Instagram",-1.25
"referenced school bullying",-0.75
"said a teacher did the writer ""wrong""",-0.5
"said he was going to ""shoot the school""",-0.5
"several social media posts  including one in which the suspect, armed and clad in a ballistic vest,",-0.15
"showing up with M16s and throwing pipe bombs through classroom windows",0
"someone was ""getting ready to shoot Crestwood up""",0.3
"Source has photo of letter; too long to transcribe here",0
"Stated Armada High School could be ""next""",0
"Stated that January 31st was a date the school wouldn't forget",-0.5
"stated there was a student plan to shoot up the high school.",-0.5
"stated they were going to ""shoot up the school""",-0.5
"swastikas and KKK,",0
"The 18-year-old said he intended to bring a gun to school, and then he did.",-0.75
"The student sent several messages through the app, including one regarding a gun and that the student would bring it to school and kill everyone,",-0.65
"The student told Wall-Howard (assistant principal) that (a student) was talking about if he were to come to shoot up the school, (that student) would know where to access the school and could have the entire downstairs before the upstairs even knew what was going on. The student also informed Wall-Howard that (the other student) mentioned needing to sell his current firearms to upgrade to an AK-47.",-0.7
"There will be a school shooting in the commons area on ovtober 21st 2019",-0.6
"Threat from male Im going to eliminate Everyone that I hate, if youve done nothing wrong theres nothing to worry about. But im warning you, If youre so confident and think you can stop me, i will have no choice but to eliminate you as well. Dont let that person be you.",-1.9
"threat said that a shooting would occur monday",-1.35
"threat specifically mentioned ""fourth hour""",-0.75
"threatened other students on social media that they ""wanted to get out of class""",-0.5
"threatened to shoot and bomb the school,",-1.75
"Threats of shooting up the school cafeteria and Instagram threats referencing Columbine",-1.35
"To commit a school shooting",-0.85
"To shoot 20 students and four administrators at OGHS around 10:30 a.m. Friday.",-0.5
"wanted the school ""stot up"", ""I was to murder every [person]... inside this school""",-0.75
"Warned not to come to school Monday",-0.5
"Wednesday 9/4/19: ""time to shoot up the school Friday 9/6/19: ""and this time Im not joking. Its for real.""",0.35
"were going to shoot a number of students and staff",-0.5
"Witnesses stated he said he was going to shoot up the school and that nobody will make it out alive,"" also held up his hand in a gun motion and said ""don't come to school tomorrow,"" also said ""shoot up the school and shoot a teacher first""",-0.25
"Wrote about the fireworks the day prior, was a test to see how long it took the police to arrive.""",-0.25
